Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
75,35-44,Female,Arab Expat,Dubai,Full-time employed,"35,001 - 50,000",Bachelor's Degree,"Married/Partner, with children (under 12)",Daily,60,Less than 30 minutes (quick coffee),Social meetings with friends/colleagues|Work/study in a different environment,Lunch time (12-3 PM),Always alone,Regular reader (3-5 times per week),15,"E-books (Kindle, tablets)|Online articles/blogs",Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology|Poetry,"E-book subscriptions (Kindle Unlimited, etc.)|Free online resources|Purchase from bookstores",134,"Arabic/Turkish Coffee|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)|Tea","Comfortable seating (sofas, armchairs)|Individual reading nooks/pods|Natural lighting|Quiet/Silent zones","Pastries (croissants, muffins)|Salads","Yes, outside UAE","Book clubs/reading groups|Community of like-minded people|Cozy, comfortable ambiance|Multilingual book collection|Quiet environment for reading|Work/study-friendly environment",Purchase books (bookstore + cafe),3,4,5,3,3,4,5,4,54,108,"Yes, definitely",319,21-35 AED,2,3,3,1,1,Dining out/cafe hopping|Shopping|Traveling,Somewhat introverted,Important (consider when possible),Fast follower (adopt after some research),Very loyal (stick to favorites),7,Might visit,Rarely/never,Probably not,Residential communities|Shopping malls,Limited book selection|May be too crowded/noisy|Price might be too high,N/A,N/A
76,25-34,Female,South Asian,Abu Dhabi,Full-time employed,"Above 75,000",Bachelor's Degree,"Single, living with roommates",4-6 times per week,57,30 minutes - 1 hour,"Coffee/beverages quality|Relaxation and ""me-time""",Night (9 PM onwards)|Weekends only,Mostly alone,Monthly reader (few times a month),6,Magazines|Online articles/blogs,Fiction - Contemporary/Romance|Fiction - Literary|Non-Fiction - History/Politics|Other|Religious/Spiritual,"Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",61,"Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Iced coffee|Water only,Bookshelves surrounding|Fireplace or warm elements|Natural lighting|Soft background music,Breakfast items|International cuisine options|Sandwiches/Wraps|Vegan/Healthy options,"Yes, outside UAE","Ability to purchase books|Book exchange program|Community of like-minded people|Cozy, comfortable ambiance|Quality coffee and food",Membership for book borrowing (take home),3,2,4,3,1,2,1,2,50,139,"Yes, depending on price",456,0 (Not interested),2,1,1,4,1,Gaming|Traveling|Watching movies/series,Balanced (ambivert),Not a priority,Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),8,Definitely will visit,Once a month,Definitely yes,Business districts|Tourist areas,Not enough time to utilize,N/A,N/A
77,55+,Female,Arab Expat,Abu Dhabi,Full-time employed,"20,001 - 35,000",Bachelor's Degree,"Married/Partner, with children (teenagers/adults)",2-3 times per week,29,2-3 hours,"Relaxation and ""me-time""",Afternoon (3-6 PM)|Evening (6-9 PM)|Mid-morning (9 AM-12 PM),Mostly alone,Rare reader (few times a year),3,"E-books (Kindle, tablets)|Magazines|Physical books (paperback/hardcover)",Other,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)",38,Cold Brew/Iced Coffee|Fresh Juices/Smoothies,I don't drink anything while reading,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Modern/contemporary decor|Vintage/classic decor","Desserts (cakes, brownies)|Vegan/Healthy options","Yes, outside UAE","Ability to borrow books|Cozy, comfortable ambiance|Quality coffee and food|Work/study-friendly environment",Free browsing/reading in-cafe only,1,3,1,3,2,2,1,1,27,47,"Yes, definitely",226,21-35 AED,3,5,2,1,4,Reading books|Socializing with friends/family|Working on personal projects,Somewhat extroverted,Very important (influences all decisions),Technology resistant,Neutral (try based on mood),9,Might visit,Once every few months,Maybe,Business districts|Near universities/schools,Coffee quality concerns|May be too crowded/noisy,N/A,N/A
78,25-34,Female,South Asian,Dubai,Full-time employed,"Above 75,000",Bachelor's Degree,"Single, living alone",4-6 times per week,68,30 minutes - 1 hour,Business meetings|Food quality,Evening (6-9 PM)|Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Mostly with company,Regular reader (3-5 times per week),19,Newspapers,Fiction - Literary|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,Borrow from friends/family|Free online resources,183,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Non-caffeinated beverages only,"Cold beverages (juice, smoothies)|Hot chocolate",Fireplace or warm elements|Minimalist decor|Outdoor seating option|Quiet/Silent zones,"Pastries (croissants, muffins)|Salads","Yes, outside UAE",Book clubs/reading groups|Kids' reading corner|Quality coffee and food|Quiet environment for reading|Work/study-friendly environment,Free browsing/reading in-cafe only,5,3,2,5,5,5,3,4,61,169,"Yes, depending on price",397,36-50 AED,5,2,4,2,1,Shopping|Watching movies/series|Working on personal projects,Balanced (ambivert),Somewhat important,Mainstream (adopt when widely accepted),Variety seeker (always try new places),10,Probably will visit,Once every few months,Maybe,Near universities/schools,Not enough time to utilize,N/A,N/A
79,25-34,Male,Western Expat,Dubai,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,"Single, living alone",2-3 times per month,27,Less than 30 minutes (quick coffee),Food quality|Social meetings with friends/colleagues,Afternoon (3-6 PM)|Night (9 PM onwards)|Weekends only,Mostly alone,Daily reader (read every day),48,"Audiobooks|E-books (Kindle, tablets)",Children's/Young Adult|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Poetry,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)|Free online resources",204,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)",Hot chocolate,"Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Fireplace or warm elements|Modern/contemporary decor","International cuisine options|Light snacks (cookies, biscuits)","Yes, outside UAE","Ability to purchase books|Book clubs/reading groups|Book exchange program|Cozy, comfortable ambiance",Membership for book borrowing (take home),3,3,4,4,5,3,2,3,26,48,Maybe,294,21-35 AED,2,3,2,2,3,Dining out/cafe hopping|Reading books|Traveling,Balanced (ambivert),Important (consider when possible),Mainstream (adopt when widely accepted),Opportunistic (based on deals/convenience),8,Probably will visit,2-3 times per month,Maybe,Street retail/standalone,May be too crowded/noisy,N/A,N/A
80,25-34,Male,South Asian,Dubai,Full-time employed,"5,000 - 10,000",Bachelor's Degree,"Married/Partner, with children (under 12)",2-3 times per month,21,Less than 30 minutes (quick coffee),Business meetings|Social meetings with friends/colleagues,Early morning (6-9 AM)|Mid-morning (9 AM-12 PM),Both equally,Daily reader (read every day),58,Magazines|Physical books (paperback/hardcover),Children's/Young Adult|Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Poetry,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)|Public libraries",67,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)|Iced coffee","Comfortable seating (sofas, armchairs)|Greenery/plants|Individual reading nooks/pods|Minimalist decor|Modern/contemporary decor|Quiet/Silent zones",Breakfast items|Salads,"No, but interested",Ability to borrow books|Author events/book signings|Multilingual book collection|Work/study-friendly environment,Membership for book borrowing (take home),3,3,3,5,4,3,3,4,20,26,Definitely not,0,10-20 AED,3,4,3,4,5,Arts & crafts|Gaming|Socializing with friends/family,Balanced (ambivert),Important (consider when possible),Fast follower (adopt after some research),Neutral (try based on mood),6,Definitely will visit,Multiple times per week,Probably yes,Beach/waterfront locations|Residential communities,May be too crowded/noisy,N/A,N/A
81,35-44,Female,UAE National,Dubai,Full-time employed,"Above 75,000",Diploma/Vocational Training,"Married/Partner, with children (under 12)",2-3 times per week,62,1-2 hours,Free WiFi,Afternoon (3-6 PM),Mostly with company,Monthly reader (few times a month),4,"E-books (Kindle, tablets)",Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Business/Self-Help|Poetry,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)",37,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate|Tea,"Comfortable seating (sofas, armchairs)|Greenery/plants|Quiet/Silent zones","Breakfast items|Light snacks (cookies, biscuits)|Traditional Arabic sweets","No, and not interested",Multilingual book collection|Quiet environment for reading,Combination of above options,3,3,3,5,3,1,3,3,55,158,Definitely not,0,Above 50 AED,5,3,4,3,1,Shopping|Socializing with friends/family|Traveling,Balanced (ambivert),Somewhat important,Late adopter (adopt when necessary),Somewhat loyal (prefer familiar but open),6,Probably will visit,2-3 times per month,Probably yes,Beach/waterfront locations|Business districts,No major concerns,N/A,N/A
82,25-34,Male,UAE National,Abu Dhabi,Full-time employed,"50,001 - 75,000",Bachelor's Degree,"Married/Partner, no children",2-3 times per week,80,30 minutes - 1 hour,Location convenience,Weekends only,Both equally,Regular reader (3-5 times per week),28,Newspapers,Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,"E-book subscriptions (Kindle Unlimited, etc.)",107,"Arabic/Turkish Coffee|Filter/Drip Coffee|Hot Chocolate|Tea (Black, Green, Herbal)",Hot chocolate,Bookshelves surrounding|Individual reading nooks/pods|Quiet/Silent zones|Vintage/classic decor,"International cuisine options|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets","No, but interested",Ability to purchase books|Author events/book signings|Instagram-worthy aesthetics|Kids' reading corner|Multilingual book collection|Quiet environment for reading,Membership for book borrowing (take home),3,3,5,3,4,3,3,4,70,175,"Yes, depending on price",310,Above 50 AED,5,1,1,2,1,Socializing with friends/family|Traveling|Working on personal projects,Somewhat introverted,Important (consider when possible),Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),10,Definitely will visit,2-3 times per month,Definitely yes,Mixed-use developments,Distance/location inconvenience,N/A,N/A
83,35-44,Male,South Asian,Ajman,Full-time employed,"35,001 - 50,000",Master's Degree,"Married/Partner, with children (under 12)",Daily,36,30 minutes - 1 hour,Work/study in a different environment,Evening (6-9 PM)|Mid-morning (9 AM-12 PM),Always alone,Monthly reader (few times a month),7,"E-books (Kindle, tablets)",Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Other,"Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",35,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)",Dim/cozy lighting|Greenery/plants|Individual reading nooks/pods|Soft background music|Vintage/classic decor,"No food, just beverages|Pastries (croissants, muffins)","Yes, outside UAE",Ability to borrow books|Book clubs/reading groups|Book exchange program|Kids' reading corner|Quality coffee and food,Purchase books (bookstore + cafe),3,3,2,3,3,1,3,2,36,82,Maybe,183,21-35 AED,4,1,4,2,5,Arts & crafts|Gaming|Learning new skills/courses,Balanced (ambivert),Very important (influences all decisions),Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),7,Probably will visit,2-3 times per month,Probably yes,Business districts,Distance/location inconvenience,N/A,N/A
84,45-54,Male,Arab Expat,Sharjah,Self-employed/Business owner,"Above 75,000",Diploma/Vocational Training,Extended family household,2-3 times per week,72,2-3 hours,Ambiance and interior design|Work/study in a different environment,Afternoon (3-6 PM)|Evening (6-9 PM)|Lunch time (12-3 PM),Mostly alone,Regular reader (3-5 times per week),32,Newspapers|Online articles/blogs,Children's/Young Adult|Non-Fiction - Biography/Memoir,Purchase from bookstores,230,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Fireplace or warm elements|Natural lighting|Vintage/classic decor","Pastries (croissants, muffins)|Traditional Arabic sweets","No, but interested",Ability to purchase books|Author events/book signings|Book clubs/reading groups|Quality coffee and food|Work/study-friendly environment,"Book exchange (bring one, take one)",3,2,3,3,4,4,4,5,65,168,"Yes, definitely",493,0 (Not interested),2,1,4,1,4,Arts & crafts|Working on personal projects,Balanced (ambivert),Very important (influences all decisions),Technology resistant,Somewhat loyal (prefer familiar but open),8,Definitely will visit,Once a month,Probably yes,Near universities/schools|Street retail/standalone,No major concerns,N/A,N/A
85,25-34,Male,Western Expat,Dubai,Full-time employed,"50,001 - 75,000",Diploma/Vocational Training,"Single, living alone",Daily,69,Less than 30 minutes (quick coffee),Coffee/beverages quality,Afternoon (3-6 PM)|Evening (6-9 PM),Mostly alone,Regular reader (3-5 times per week),18,"E-books (Kindle, tablets)|Online articles/blogs|Physical books (paperback/hardcover)",Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Other,Free online resources|Public libraries|Purchase from bookstores,174,"Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Tea,Bookshelves surrounding|Fireplace or warm elements|Individual reading nooks/pods|Vintage/classic decor,"International cuisine options|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets","No, but interested",Book clubs/reading groups|Book exchange program|Kids' reading corner|Quality coffee and food|Quiet environment for reading,Combination of above options,5,5,4,4,2,4,3,4,67,188,"Yes, definitely",404,10-20 AED,1,4,4,2,1,Reading books|Working on personal projects,Somewhat introverted,Very important (influences all decisions),Early adopter (love new tech),Somewhat loyal (prefer familiar but open),9,Probably will visit,Multiple times per week,Probably yes,Beach/waterfront locations,Prefer buying books separately,N/A,N/A
86,25-34,Male,South Asian,Dubai,Full-time employed,"35,001 - 50,000",Bachelor's Degree,"Single, living alone",2-3 times per month,33,1-2 hours,Ambiance and interior design|Coffee/beverages quality,Night (9 PM onwards),Both equally,Regular reader (3-5 times per week),28,Physical books (paperback/hardcover),Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Poetry,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)|Free online resources",128,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only",Iced coffee,"Comfortable seating (sofas, armchairs)|Greenery/plants|Modern/contemporary decor|Natural lighting","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Vegan/Healthy options","No, but interested",Author events/book signings|Community of like-minded people|Kids' reading corner|Multilingual book collection|Quality coffee and food|Quiet environment for reading,Free browsing/reading in-cafe only,5,4,2,5,4,3,3,3,30,71,"Yes, definitely",346,0 (Not interested),2,2,5,4,3,Learning new skills/courses|Social media browsing|Watching movies/series,Very introverted (prefer solitude),Very important (influences all decisions),Early adopter (love new tech),Variety seeker (always try new places),10,Definitely will visit,2-3 times per month,Definitely yes,Street retail/standalone,Coffee quality concerns|No major concerns,N/A,N/A
87,55+,Female,East Asian,Ras Al Khaimah,Retired,"35,001 - 50,000",High School or below,"Married/Partner, no children",2-3 times per week,32,2-3 hours,"Coffee/beverages quality|Relaxation and ""me-time""",Lunch time (12-3 PM),Both equally,Regular reader (3-5 times per week),31,"E-books (Kindle, tablets)",Children's/Young Adult|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Religious/Spiritual,Public libraries|Purchase from bookstores,67,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Hot coffee,Fireplace or warm elements|Individual reading nooks/pods|Modern/contemporary decor|Natural lighting|Outdoor seating option|Quiet/Silent zones,"Breakfast items|International cuisine options|No food, just beverages|Pastries (croissants, muffins)","No, but interested","Ability to purchase books|Author events/book signings|Community of like-minded people|Cozy, comfortable ambiance|Instagram-worthy aesthetics|Kids' reading corner|Quiet environment for reading",Free browsing/reading in-cafe only,2,3,3,3,3,4,4,4,31,65,"Yes, depending on price",217,10-20 AED,4,4,5,2,1,Outdoor activities/sports|Socializing with friends/family|Watching movies/series,Balanced (ambivert),Very important (influences all decisions),Mainstream (adopt when widely accepted),Variety seeker (always try new places),10,Might visit,2-3 times per month,Maybe,Near universities/schools|Residential communities,Coffee quality concerns|Distance/location inconvenience|May be too crowded/noisy,N/A,N/A
